quarter1,quarter1_number,quarter2,quarter2_num,quarter_elapsed_display,quarter_elapsed_sort
Q2 2019,20192,Q3 2019,20193,1,1
Q2 2019,20192,Q4 2019,20194,2,2
Q3 2019,20193,Q3 2019,20193,0,0
Q3 2019,20193,Q4 2019,20194,1,1
Q4 2019,20194,Q4 2019,20194,0,0
Q1 2016,20161,,,New Customers,-1
Q2 2016,20162,,,New Customers,-1
Q3 2016,20163,,,New Customers,-1
Q4 2016,20164,,,New Customers,-1
Q1 2017,20171,,,New Customers,-1
Q2 2017,20172,,,New Customers,-1
Q3 2017,20173,,,New Customers,-1
Q4 2017,20174,,,New Customers,-1
Q1 2018,20181,,,New Customers,-1
Q2 2018,20182,,,New Customers,-1
Q3 2018,20183,,,New Customers,-1
Q4 2018,20184,,,New Customers,-1
Q1 2019,20191,,,New Customers,-1
Q2 2019,20192,,,New Customers,-1
Q3 2019,20193,,,New Customers,-1
Q4 2019,20194,,,New Customers,-1
